playerName,sport,position,realrating,,,,,Sport,Position,Symbol
Shohei Ohtani,MLB,batter,288,,,,,MLB,Batter,batter
Aaron Judge,MLB,batter,273.9,,,,,MLB,Starting Pitcher,pitcher
Bobby Witt Jr.,MLB,batter,242.3,,,,,MLB,Relief Pitcher,relief
Jose Ramirez,MLB,batter,227.3,,,,,NBA,All,nba
Juan Soto,MLB,batter,224.3,,,,,WNBA,All,wnba
Gunnar Henderson,MLB,batter,209.3,,,,,NFL,Offense,nflo
Vladimir Guerrero Jr.,MLB,batter,208.3,,,,,NFL,Defense,nfld
Brent Rooker,MLB,batter,200.5,,,,,CFB,Offense,cfbo
Marcell Ozuna,MLB,batter,200,,,,,CFB,Defense,cfbd
Jarren Duran,MLB,batter,199.1,,,,,CBB,All,cbb
Francisco Lindor,MLB,batter,199.1,,,,,NHL,All,nhl
Willy Adames,MLB,batter,197.7,,,,,Golf,All,golf
Elly De La Cruz,MLB,batter,192.5,,,,,,,
Teoscar Hernandez,MLB,batter,189.4,,,,,,,
Kyle Schwarber,MLB,batter,189,,,,,,,
Yordan Alvarez,MLB,batter,188.6,,,,,,,
Ketel Marte,MLB,batter,181.6,,,,,,,
Manny Machado,MLB,batter,181.4,,,,,,,
William Contreras,MLB,batter,181,,,,,,,
Bryce Harper,MLB,batter,177.7,,,,,,,
Anthony Santander,MLB,batter,177.1,,,,,,,
Jurickson Profar,MLB,batter,175.2,,,,,,,
Salvador Perez,MLB,batter,175,,,,,,,
Jackson Merrill,MLB,batter,174.1,,,,,,,
Eugenio Suarez,MLB,batter,173.3,,,,,,,
Josh Naylor,MLB,batter,173,,,,,,,
Bryan Reynolds,MLB,batter,172.8,,,,,,,
Freddie Freeman,MLB,batter,172.3,,,,,,,
Ian Happ,MLB,batter,172,,,,,,,
Ezequiel Tovar,MLB,batter,170.1,,,,,,,
Matt Olson,MLB,batter,166.2,,,,,,,
Rafael Devers,MLB,batter,165.1,,,,,,,
Nick Castellanos,MLB,batter,164.7,,,,,,,
Jose Altuve,MLB,batter,164.4,,,,,,,
Spencer Steer,MLB,batter,163.5,,,,,,,
Corbin Carroll,MLB,batter,162.7,,,,,,,
Alec Bohm,MLB,batter,162.3,,,,,,,
Jackson Chourio,MLB,batter,162.1,,,,,,,
Matt Chapman,MLB,batter,161.5,,,,,,,
Pete Alonso,MLB,batter,161,,,,,,,
Brandon Nimmo,MLB,batter,159.2,,,,,,,
Cal Raleigh,MLB,batter,159.1,,,,,,,
Jazz Chisholm Jr,MLB,batter,156.5,,,,,,,
Julio Rodriguez,MLB,batter,156.5,,,,,,,
