playerName,sport,position,realrating,,,,,Sport,Position,Symbol
Brenton Doyle,MLB,batter,156,,,,,,,
Zach Neto,MLB,batter,156,,,,,,,
Seiya Suzuki,MLB,batter,155.8,,,,,,,
Oneil Cruz,MLB,batter,154.9,,,,,,,
Vinnie Pasquantino,MLB,batter,153.4,,,,,,,
Mookie Betts,MLB,batter,152.6,,,,,,,
Alex Bregman,MLB,batter,152.4,,,,,,,
Riley Greene,MLB,batter,151.5,,,,,,,
Yainer Diaz,MLB,batter,150.4,,,,,,,
CJ Abrams,MLB,batter,150.1,,,,,,,
Marcus Semien,MLB,batter,149.8,,,,,,,
Wyatt Langford,MLB,batter,149.3,,,,,,,
Corey Seager,MLB,batter,148.5,,,,,,,
Trea Turner,MLB,batter,148.3,,,,,,,
Alec Burleson,MLB,batter,147.7,,,,,,,
Brendan Donovan,MLB,batter,146.7,,,,,,,
Jake Cronenworth,MLB,batter,146.4,,,,,,,
Zack Wheeler,MLB,pitcher,145.2,,,,,,,
Luis Garcia Jr.,MLB,batter,144,,,,,,,
Taylor Ward,MLB,batter,143.8,,,,,,,
Adolis Garcia,MLB,batter,143.4,,,,,,,
Logan Gilbert,MLB,pitcher,142.3,,,,,,,
Tarik Skubal,MLB,pitcher,141.6,,,,,,,
Jake Burger,MLB,batter,141.3,,,,,,,
Ceddanne Rafaela,MLB,batter,140.9,,,,,,,
Jeremy Pena,MLB,batter,140.8,,,,,,,
Isaac Paredes,MLB,batter,140.5,,,,,,,
Christian Walker,MLB,batter,140.3,,,,,,,
Luis Arraez,MLB,batter,140.2,,,,,,,
Anthony Volpe,MLB,batter,139.8,,,,,,,
Will Smith,MLB,batter,139.1,,,,,,,
Nolan Arenado,MLB,batter,138.9,,,,,,,
Lourdes Gurriel Jr.,MLB,batter,138.9,,,,,,,
Brice Turang,MLB,batter,138.1,,,,,,,
Paul Goldschmidt,MLB,batter,138,,,,,,,
Adley Rutschman,MLB,batter,138,,,,,,,
Cody Bellinger,MLB,batter,137.5,,,,,,,
Shea Langeliers,MLB,batter,136.6,,,,,,,
Nico Hoerner,MLB,batter,136.3,,,,,,,
Michael Busch,MLB,batter,136,,,,,,,
JJ Bleday,MLB,batter,135.8,,,,,,,
Ryan McMahon,MLB,batter,135.3,,,,,,,
Jonathan India,MLB,batter,135.2,,,,,,,
Yandy Diaz,MLB,batter,133.4,,,,,,,
Masyn Winn,MLB,batter,133.1,,,,,,,
Willi Castro,MLB,batter,133.1,,,,,,,
Heliot Ramos,MLB,batter,133,,,,,,,
Lane Thomas,MLB,batter,132.8,,,,,,,
Andres Gimenez,MLB,batter,132.8,,,,,,,
Colton Cowser,MLB,batter,132.7,,,,,,,
Tyler O'Neill,MLB,batter,132.7,,,,,,,
Jesus Sanchez,MLB,batter,132.6,,,,,,,
Carlos Santana,MLB,batter,132.6,,,,,,,
Seth Lugo,MLB,pitcher,131.7,,,,,,,
Jorge Soler,MLB,batter,131.3,,,,,,,
Maikel Garcia,MLB,batter,130.6,,,,,,,
Chris Sale,MLB,pitcher,129.8,,,,,,,
Joc Pederson,MLB,batter,129.7,,,,,,,
Rhys Hoskins,MLB,batter,129.6,,,,,,,
Josh Smith,MLB,batter,128.4,,,,,,,
Josh Bell,MLB,batter,127.8,,,,,,,
Randy Arozarena,MLB,batter,127.5,,,,,,,
Andrew Vaughn,MLB,batter,126.8,,,,,,,
Dansby Swanson,MLB,batter,126.6,,,,,,,
Jesse Winker,MLB,batter,126.1,,,,,,,
Matt Vierling,MLB,batter,126,,,,,,,
Nathaniel Lowe,MLB,batter,125.6,,,,,,,
Dylan Cease,MLB,pitcher,125.4,,,,,,,
Mark Vientos,MLB,batter,125.4,,,,,,,
Steven Kwan,MLB,batter,124.6,,,,,,,
Bryan De La Cruz,MLB,batter,124.6,,,,,,,
Tyler Stephenson,MLB,batter,124.5,,,,,,,
Lawrence Butler,MLB,batter,123.5,,,,,,,
Gleyber Torres,MLB,batter,123.4,,,,,,,
Corbin Burnes,MLB,pitcher,122.7,,,,,,,
Bryson Stott,MLB,batter,122.7,,,,,,,
Brendan Rodgers,MLB,batter,122,,,,,,,
Logan Webb,MLB,pitcher,121.9,,,,,,,
Jake McCarthy,MLB,batter,121.7,,,,,,,
Jordan Westburg,MLB,batter,121,,,,,,,
Andrew Benintendi,MLB,batter,120.9,,,,,,,
George Springer,MLB,batter,120.7,,,,,,,
Ryan Mountcastle,MLB,batter,120.4,,,,,,,
Cedric Mullins,MLB,batter,120,,,,,,,
Michael Conforto,MLB,batter,119.5,,,,,,,
Alex Verdugo,MLB,batter,118.8,,,,,,,
Framber Valdez,MLB,pitcher,118.3,,,,,,,
Logan O'Hoppe,MLB,batter,117.8,,,,,,,
Cole Ragans,MLB,pitcher,117.8,,,,,,,
Wilyer Abreu,MLB,batter,117.6,,,,,,,
Fernando Tatis Jr.,MLB,batter,117.3,,,,,,,
Colt Keith,MLB,batter,117.3,,,,,,,
Luke Raley,MLB,batter,117.2,,,,,,,
Daulton Varsho,MLB,batter,117,,,,,,,
Brandon Marsh,MLB,batter,116.7,,,,,,,
Bryce Miller,MLB,pitcher,116.5,,,,,,,
Brandon Lowe,MLB,batter,116.3,,,,,,,
Bailey Ober,MLB,pitcher,116,,,,,,,
George Kirby,MLB,pitcher,115.6,,,,,,,
Ryan O'Hearn,MLB,batter,115.1,,,,,,,
J.D. Martinez,MLB,batter,114,,,,,,,
Mike Yastrzemski,MLB,batter,113.9,,,,,,,
Shota Imanaga,MLB,pitcher,113.6,,,,,,,
Charlie Blackmon,MLB,batter,112.5,,,,,,,
Max Fried,MLB,pitcher,112.4,,,,,,,
Joey Ortiz,MLB,batter,112.3,,,,,,,
Tanner Houck,MLB,pitcher,112.3,,,,,,,
Giancarlo Stanton,MLB,batter,112.1,,,,,,,
Sean Manaea,MLB,pitcher,111.9,,,,,,,
Justin Turner,MLB,batter,111.1,,,,,,,
Nolan Schanuel,MLB,batter,111,,,,,,,
Ernie Clement,MLB,batter,109.8,,,,,,,
Byron Buxton,MLB,batter,109.6,,,,,,,
Austin Riley,MLB,batter,109.6,,,,,,,
Jo Adell,MLB,batter,109.4,,,,,,,
Connor Wong,MLB,batter,109.4,,,,,,,
Aaron Nola,MLB,pitcher,109.3,,,,,,,
Ryan Jeffers,MLB,batter,108.7,,,,,,,
Zack Gelof,MLB,batter,108.5,,,,,,,
Michael King,MLB,pitcher,108.2,,,,,,,
Carlos Correa,MLB,batter,107.6,,,,,,,
Cristopher Sanchez,MLB,pitcher,107,,,,,,,
Paul DeJong,MLB,batter,106.8,,,,,,,
Garrett Crochet,MLB,pitcher,106.7,,,,,,,
Jacob Young,MLB,batter,106.6,,,,,,,
Jake Meyers,MLB,batter,105.9,,,,,,,
Andrew McCutchen,MLB,batter,105.4,,,,,,,
Leody Taveras,MLB,batter,105.3,,,,,,,
Trevor Larnach,MLB,batter,105.3,,,,,,,
Ozzie Albies,MLB,batter,104.8,,,,,,,
Jose Caballero,MLB,batter,104.7,,,,,,,
Kyle Tucker,MLB,batter,104.6,,,,,,,
Michael Toglia,MLB,batter,104.3,,,,,,,
Kevin Gausman,MLB,pitcher,104.1,,,,,,,
Hunter Brown,MLB,pitcher,104,,,,,,,
Jose Berrios,MLB,pitcher,103.3,,,,,,,
Yusei Kikuchi,MLB,pitcher,102.8,,,,,,,
Christopher Morel,MLB,batter,102.6,,,,,,,
Pete Crow-Armstrong,MLB,batter,102.2,,,,,,,
Masataka Yoshida,MLB,batter,101.9,,,,,,,
Jose Miranda,MLB,batter,101.8,,,,,,,
Pablo Lopez,MLB,pitcher,101.8,,,,,,,
Gavin Lux,MLB,batter,101.7,,,,,,,
Jonah Heim,MLB,batter,101,,,,,,,
Paul Skenes,MLB,pitcher,100.9,,,,,,,
Michael Harris II,MLB,batter,100.9,,,,,,,
Christian Yelich,MLB,batter,100.8,,,,,,,
Ronel Blanco,MLB,pitcher,100.1,,,,,,,
Harrison Bader,MLB,batter,100,,,,,,,
Nathan Eovaldi,MLB,pitcher,99.5,,,,,,,
Sal Frelick,MLB,batter,98.8,,,,,,,
Ty France,MLB,batter,98.3,,,,,,,
Sonny Gray,MLB,pitcher,98.3,,,,,,,
Brandon Pfaadt,MLB,pitcher,97.6,,,,,,,
Jeimer Candelario,MLB,batter,97.5,,,,,,,
Isiah Kiner-Falefa,MLB,batter,97.4,,,,,,,
Christian McCaffrey,NFL,nflo,85.5,,,,,,,
Tyreek Hill,NFL,nflo,75,,,,,,,
CeeDee Lamb,NFL,nflo,73.7,,,,,,,
Dak Prescott,NFL,nflo,66.9,,,,,,,
Josh Allen,NFL,nflo,66.1,,,,,,,
Jalen Hurts,NFL,nflo,63.1,,,,,,,
Breece Hall,NFL,nflo,62.3,,,,,,,
Puka Nacua,NFL,nflo,61.5,,,,,,,
Brock Purdy,NFL,nflo,60.8,,,,,,,
Lamar Jackson,NFL,nflo,60.5,,,,,,,
Derrick Henry,NFL,nflo,59.9,,,,,,,
Travis Etienne Jr.,NFL,nflo,59.8,,,,,,,
Amon-Ra St. Brown,NFL,nflo,59.8,,,,,,,
Jared Goff,NFL,nflo,59.5,,,,,,,
Rachaad White,NFL,nflo,59,,,,,,,
Joe Mixon,NFL,nflo,58.8,,,,,,,
Tua Tagovailoa,NFL,nflo,58.4,,,,,,,
Kyren Williams,NFL,nflo,58.4,,,,,,,
Raheem Mostert,NFL,nflo,58.3,,,,,,,
James Cook,NFL,nflo,58.1,,,,,,,
Jordan Love,NFL,nflo,57.8,,,,,,,
C.J. Stroud,NFL,nflo,57.3,,,,,,,
A.J. Brown,NFL,nflo,55.8,,,,,,,
Bijan Robinson,NFL,nflo,54.9,,,,,,,
Brandon Aubrey,NFL,nflo,54.7,,,,,,,
DJ Moore,NFL,nflo,54.5,,,,,,,
Patrick Mahomes,NFL,nflo,54.1,,,,,,,
Mike Evans,NFL,nflo,53.6,,,,,,,
Baker Mayfield,NFL,nflo,53.2,,,,,,,
David Montgomery,NFL,nflo,52,,,,,,,
Harrison Butker,NFL,nflo,51.4,,,,,,,
Matthew Stafford,NFL,nflo,51.4,,,,,,,
Nico Collins,NFL,nflo,50.8,,,,,,,
Jahmyr Gibbs,NFL,nflo,50.6,,,,,,,
Keenan Allen,NFL,nflo,50.6,,,,,,,
Brandon Aiyuk,NFL,nflo,50.3,,,,,,,
Derek Carr,NFL,nflo,49.5,,,,,,,
Najee Harris,NFL,nflo,49.5,,,,,,,
James Conner,NFL,nflo,49.4,,,,,,,
Tony Pollard,NFL,nflo,49.2,,,,,,,
Trevor Lawrence,NFL,nflo,49.1,,,,,,,
Jake Elliott,NFL,nflo,48.9,,,,,,,
Cairo Santos,NFL,nflo,48.7,,,,,,,
Deebo Samuel Sr.,NFL,nflo,48.7,,,,,,,
Dustin Hopkins,NFL,nflo,48.6,,,,,,,
Geno Smith,NFL,nflo,48.4,,,,,,,
Antoine Winfield Jr.,NFL,nfld,48.3,,,,,,,
Isiah Pacheco,NFL,nflo,48.3,,,,,,,
Kenneth Walker III,NFL,nflo,48,,,,,,,
D'Andre Swift,NFL,nflo,48,,,,,,,
Saquon Barkley,NFL,nflo,47.7,,,,,,,
Ja'Marr Chase,NFL,nflo,47.3,,,,,,,
Sam Howell,NFL,nflo,47.1,,,,,,,
Cameron Dicker,NFL,nflo,46.9,,,,,,,
Stefon Diggs,NFL,nflo,46.9,,,,,,,
Amari Cooper,NFL,nflo,46.2,,,,,,,
Jerome Ford,NFL,nflo,45.8,,,,,,,
Justin Tucker,NFL,nflo,45.8,,,,,,,
DK Metcalf,NFL,nflo,45.5,,,,,,,
Russell Wilson,NFL,nflo,45.5,,,,,,,
Younghoe Koo,NFL,nflo,45.4,,,,,,,
T.J. Watt,NFL,nfld,45.3,,,,,,,
Greg Zuerlein,NFL,nflo,45.1,,,,,,,
George Pickens,NFL,nflo,44.9,,,,,,,
Justin Herbert,NFL,nflo,44.9,,,,,,,
Gus Edwards,NFL,nflo,44.6,,,,,,,
Davante Adams,NFL,nflo,44.5,,,,,,,
Jason Myers,NFL,nflo,44.2,,,,,,,
Michael Pittman Jr.,NFL,nflo,43.9,,,,,,,
Alvin Kamara,NFL,nflo,43.8,,,,,,,
Chase McLaughlin,NFL,nflo,43.7,,,,,,,
Nick Folk,NFL,nflo,43.6,,,,,,,
Matt Gay,NFL,nflo,43.6,,,,,,,
DaRon Bland,NFL,nfld,43.5,,,,,,,
Brian Robinson Jr.,NFL,nflo,43.5,,,,,,,
Jason Sanders,NFL,nflo,42.8,,,,,,,
Devin Singletary,NFL,nflo,42.7,,,,,,,
Josh Jacobs,NFL,nflo,42.6,,,,,,,
De'Von Achane,NFL,nflo,42.4,,,,,,,
Brandon McManus,NFL,nflo,42.3,,,,,,,
Chuba Hubbard,NFL,nflo,42,,,,,,,
DeAndre Hopkins,NFL,nflo,42,,,,,,,
Jaylen Warren,NFL,nflo,41.9,,,,,,,
Calvin Ridley,NFL,nflo,41.8,,,,,,,
Khalil Mack,NFL,nfld,41.5,,,,,,,
Chris Olave,NFL,nflo,41.5,,,,,,,
DeVonta Smith,NFL,nflo,41.2,,,,,,,
Tyler Bass,NFL,nflo,41,,,,,,,
Wil Lutz,NFL,nflo,41,,,,,,,
Evan McPherson,NFL,nflo,40.7,,,,,,,
Jordan Addison,NFL,nflo,40.2,,,,,,,
Chris Boswell,NFL,nflo,40.2,,,,,,,
Terrel Bernard,NFL,nfld,40.2,,,,,,,
Justin Fields,NFL,nflo,40,,,,,,,
George Kittle,NFL,nflo,39.9,,,,,,,
Gardner Minshew,NFL,nflo,39.7,,,,,,,
Zack Moss,NFL,nflo,39.5,,,,,,,
Jayden Reed,NFL,nflo,39.3,,,,,,,
Jake Moody,NFL,nflo,39.2,,,,,,,
Austin Ekeler,NFL,nflo,39.1,,,,,,,
Blake Grupe,NFL,nflo,39,,,,,,,
Jessie Bates III,NFL,nfld,38.8,,,,,,,
Sam LaPorta,NFL,nflo,38.8,,,,,,,
Chris Godwin Jr.,NFL,nflo,38.7,,,,,,,
Jaylen Waddle,NFL,nflo,38.6,,,,,,,
Tyler Lockett,NFL,nflo,38.4,,,,,,,
Justin Jefferson,NFL,nflo,38.3,,,,,,,
Jakobi Meyers,NFL,nflo,38.1,,,,,,,
Javonte Williams,NFL,nflo,38,,,,,,,
T.J. Edwards,NFL,nfld,37.8,,,,,,,
Rashee Rice,NFL,nflo,37.8,,,,,,,
Travis Kelce,NFL,nflo,37.7,,,,,,,
Jonathan Taylor,NFL,nflo,37.4,,,,,,,
Terry McLaurin,NFL,nflo,37.3,,,,,,,
Foyesade Oluokun,NFL,nfld,37.3,,,,,,,
Zay Flowers,NFL,nflo,37.2,,,,,,,
Ka'imi Fairbairn,NFL,nflo,37.2,,,,,,,
Matt Prater,NFL,nflo,37.1,,,,,,,
T.J. Hockenson,NFL,nflo,37,,,,,,,
Bradley Chubb,NFL,nfld,37,,,,,,,
Garrett Wilson,NFL,nflo,36.6,,,,,,,
Adam Thielen,NFL,nflo,36.6,,,,,,,
Josh Hines-Allen,NFL,nfld,36.3,,,,,,,
Ezekiel Elliott,NFL,nflo,36.3,,,,,,,
Evan Engram,NFL,nflo,35.4,,,,,,,
Thomas Morstead,NFL,nflo,35.1,,,,,,,
Fred Warner,NFL,nfld,35,,,,,,,
Bryce Baringer,NFL,nflo,34.9,,,,,,,
Daniel Carlson,NFL,nflo,34.9,,,,,,,
Tyler Allgeier,NFL,nflo,34.7,,,,,,,
Jamie Gillan,NFL,nflo,34.5,,,,,,,
Quincy Williams,NFL,nfld,34,,,,,,,
Rasul Douglas,NFL,nfld,33.8,,,,,,,
Maxx Crosby,NFL,nfld,33.8,,,,,,,
Rashid Shaheed,NFL,nflo,33.8,,,,,,,
Xavier McKinney,NFL,nfld,33.8,,,,,,,
Danielle Hunter,NFL,nfld,33.8,,,,,,,
Paulson Adebo,NFL,nfld,33.7,,,,,,,
Anders Carlson,NFL,nflo,33.4,,,,,,,
Logan Wilson,NFL,nfld,33.4,,,,,,,
David Njoku,NFL,nflo,33.3,,,,,,,
Courtland Sutton,NFL,nflo,33.2,,,,,,,
Drake London,NFL,nflo,32.9,,,,,,,
Aidan Hutchinson,NFL,nfld,32.8,,,,,,,
Charvarius Ward,NFL,nfld,32.8,,,,,,,
Tank Dell,NFL,nflo,32.8,,,,,,,
Nick Bosa,NFL,nfld,32.8,,,,,,,
Corey Bojorquez,NFL,nflo,32.6,,,,,,,
Joshua Dobbs,NFL,nflo,32.6,,,,,,,
Robert Spillane,NFL,nfld,32.5,,,,,,,
Micah McFadden,NFL,nfld,32.5,,,,,,,
Trey Hendrickson,NFL,nfld,32.5,,,,,,,
Aaron Jones Sr.,NFL,nflo,32.4,,,,,,,
Desmond Ridder,NFL,nflo,32.3,,,,,,,
Rhamondre Stevenson,NFL,nflo,32.2,,,,,,,
Bobby Okereke,NFL,nfld,32,,,,,,,
Alexander Mattison,NFL,nflo,32,,,,,,,
Eddy Piñeiro,NFL,nflo,31.7,,,,,,,
Greg Joseph,NFL,nflo,31.6,,,,,,,
Brandin Cooks,NFL,nflo,31.5,,,,,,,
Romeo Doubs,NFL,nflo,31.5,,,,,,,
Kyle Hamilton,NFL,nfld,31.3,,,,,,,
Julian Love,NFL,nfld,31.2,,,,,,,
Patrick Queen,NFL,nfld,31.2,,,,,,,
Jeremiah Owusu-Koramoah,NFL,nfld,31.2,,,,,,,
Gabe Davis,NFL,nflo,31.1,,,,,,,
Cam Bynum,NFL,nfld,30.9,,,,,,,
Lavonte David,NFL,nfld,30.8,,,,,,,
Micah Parsons,NFL,nfld,30.8,,,,,,,
Kirk Cousins,NFL,nflo,30.7,,,,,,,
Tremaine Edmunds,NFL,nfld,30.7,,,,,,,
Tyrique Stevenson,NFL,nfld,30.7,,,,,,,
Kenny Moore II,NFL,nfld,30.4,,,,,,,
A.J. Dillon,NFL,nflo,30.4,,,,,,,
Trey McBride,NFL,nflo,30.4,,,,,,,
Jake Ferguson,NFL,nflo,30.4,,,,,,,
Tyjae Spears,NFL,nflo,30.4,,,,,,,
Darious Williams,NFL,nfld,30,,,,,,,
Cooper Kupp,NFL,nflo,29.8,,,,,,,
Alex Singleton,NFL,nfld,29.8,,,,,,,
Jake Camarda,NFL,nflo,29.7,,,,,,,
Montez Sweat,NFL,nfld,29.7,,,,,,,
Demario Davis,NFL,nfld,29.6,,,,,,,
Johnny Hekker,NFL,nflo,29.5,,,,,,,
Bobby Wagner,NFL,nfld,29.4,,,,,,,
Devon Witherspoon,NFL,nfld,29.4,,,,,,,
Cole Kmet,NFL,nflo,29.4,,,,,,,
Bryce Young,NFL,nflo,29.3,,,,,,,
Diontae Johnson,NFL,nflo,29.3,,,,,,,
AJ Cole,NFL,nflo,29.2,,,,,,,
Joe Burrow,NFL,nflo,29.2,,,,,,,
Riley Patterson,NFL,nflo,29.2,,,,,,,
Derwin James Jr.,NFL,nfld,29.1,,,,,,,
Myles Garrett,NFL,nfld,29.1,,,,,,,
Christian Kirk,NFL,nflo,28.8,,,,,,,
Darius Slayton,NFL,nflo,28.5,,,,,,,
C.J. Mosley,NFL,nfld,28.4,,,,,,,
Mike Hilton,NFL,nfld,28.2,,,,,,,
Joshua Metellus,NFL,nfld,27.8,,,,,,,
Joey Slye,NFL,nflo,27.8,,,,,,,
Jayden Daniels,CFB,cfbo,88.4,,,,,,,
Ollie Gordon II,CFB,cfbo,85.7,,,,,,,
Bo Nix,CFB,cfbo,77.1,,,,,,,
Ashton Jeanty,CFB,cfbo,76.7,,,,,,,
Kimani Vidal,CFB,cfbo,74.7,,,,,,,
Omarion Hampton,CFB,cfbo,71.5,,,,,,,
Cody Schrader,CFB,cfbo,70.4,,,,,,,
Rome Odunze,CFB,cfbo,69.4,,,,,,,
Dillon Gabriel,CFB,cfbo,68.7,,,,,,,
Blake Watson,CFB,cfbo,68.1,,,,,,,
Audric Estime,CFB,cfbo,68.1,,,,,,,
Kaidon Salter,CFB,cfbo,67.6,,,,,,,
Caleb Williams,CFB,cfbo,67,,,,,,,
Peny Boone,CFB,cfbo,66.6,,,,,,,
Malik Nabers,CFB,cfbo,66,,,,,,,
Devin Neal,CFB,cfbo,65.7,,,,,,,
RJ Harvey,CFB,cfbo,65.6,,,,,,,
Ray Davis,CFB,cfbo,65.2,,,,,,,
Jordan McCloud,CFB,cfbo,63.4,,,,,,,
Marcus Carroll,CFB,cfbo,63.3,,,,,,,
Kairee Robinson,CFB,cfbo,62.8,,,,,,,
Michael Penix Jr.,CFB,cfbo,62.8,,,,,,,
Jaydn Ott,CFB,cfbo,62.5,,,,,,,
Drake Maye,CFB,cfbo,61.5,,,,,,,
Quinton Cooley,CFB,cfbo,60.5,,,,,,,
Bucky Irving,CFB,cfbo,60.3,,,,,,,
Tahj Brooks,CFB,cfbo,60,,,,,,,
Ismail Mahdi,CFB,cfbo,59.8,,,,,,,
Jalen Milroe,CFB,cfbo,59.8,,,,,,,
Troy Franklin,CFB,cfbo,59.6,,,,,,,
Chandler Rogers,CFB,cfbo,59.4,,,,,,,
Blake Corum,CFB,cfbo,59.3,,,,,,,
Jawhar Jordan,CFB,cfbo,59.2,,,,,,,
Joey Aguilar,CFB,cfbo,58.9,,,,,,,
Jonathon Brooks,CFB,cfbo,58.8,,,,,,,
Jacory Croskey-Merritt,CFB,cfbo,58.8,,,,,,,
Frank Gore,CFB,cfbo,58.4,,,,,,,
Cameron Ward,CFB,cfbo,58.3,,,,,,,
Diego Pavia,CFB,cfbo,58.3,,,,,,,
Rasheen Ali,CFB,cfbo,56.6,,,,,,,
DJ Giddens,CFB,cfbo,56.4,,,,,,,
Quinshon Judkins,CFB,cfbo,56.4,,,,,,,
Malik Washington,CFB,cfbo,56.3,,,,,,,
Marvin Harrison Jr.,CFB,cfbo,56,,,,,,,
Byrum Brown,CFB,cfbo,56,,,,,,,
Carson Beck,CFB,cfbo,55.8,,,,,,,
Shedeur Sanders,CFB,cfbo,55.7,,,,,,,
Brady Cook,CFB,cfbo,55.3,,,,,,,
Dillon Johnson,CFB,cfbo,55.2,,,,,,,
Seth Henigan,CFB,cfbo,55,,,,,,,
Preston Stone,CFB,cfbo,53.6,,,,,,,
Makhi Hughes,CFB,cfbo,53.5,,,,,,,
Emani Bailey,CFB,cfbo,53.4,,,,,,,
Jaxson Dart,CFB,cfbo,53.1,,,,,,,
Ricky White III,CFB,cfbo,52.8,,,,,,,
Trey Benson,CFB,cfbo,52.6,,,,,,,
Damien Martinez,CFB,cfbo,52.1,,,,,,,
La'Damian Webb,CFB,cfbo,52.1,,,,,,,
Tetairoa McMillan,CFB,cfbo,52.1,,,,,,,
LaJohntay Wester,CFB,cfbo,52,,,,,,,
Jermaine Brown Jr.,CFB,cfbo,51.8,,,,,,,
Taulia Tagovailoa,CFB,cfbo,51.5,,,,,,,
Kay'Ron Lynch-Adams,CFB,cfbo,50.8,,,,,,,
Antario Brown,CFB,cfbo,50.6,,,,,,,
Austin Reed,CFB,cfbo,50.6,,,,,,,
Malik Sherrod,CFB,cfbo,50.5,,,,,,,
Tory Horton,CFB,cfbo,50.4,,,,,,,
Haynes King,CFB,cfbo,50.4,,,,,,,
Gunnar Watson,CFB,cfbo,50.3,,,,,,,
Xavier Legette,CFB,cfbo,50.3,,,,,,,
Quinn Ewers,CFB,cfbo,50.1,,,,,,,
LeQuint Allen,CFB,cfbo,50,,,,,,,
Brian Thomas Jr.,CFB,cfbo,49.9,,,,,,,
Caullin Lacy,CFB,cfbo,49.6,,,,,,,
Luther Burden,CFB,cfbo,49.5,,,,,,,
Jordan Travis,CFB,cfbo,49.3,,,,,,,
Braelon Allen,CFB,cfbo,48.8,,,,,,,
Dequan Finn,CFB,cfbo,48.7,,,,,,,
Garrett Greene,CFB,cfbo,48.3,,,,,,,
Spencer Rattler,CFB,cfbo,48.3,,,,,,,
Bhayshul Tuten,CFB,cfbo,48.2,,,,,,,
Joe Milton III,CFB,cfbo,48.1,,,,,,,
Cam Skattebo,CFB,cfbo,48.1,,,,,,,
Payton Wilson,CFB,cfbd,47.6,,,,,,,
Will Howard,CFB,cfbo,47.3,,,,,,,
TreVeyon Henderson,CFB,cfbo,47.1,,,,,,,
Jalen Royals,CFB,cfbo,46.8,,,,,,,
Kyle Monangai,CFB,cfbo,46.6,,,,,,,
TJ Finley,CFB,cfbo,46.5,,,,,,,
Luke McCaffrey,CFB,cfbo,46.3,,,,,,,
Donovan Smith,CFB,cfbo,45.9,,,,,,,
Elijah Sarratt,CFB,cfbo,45.6,,,,,,,
Kyle McCord,CFB,cfbo,45.5,,,,,,,
KC Concepcion,CFB,cfbo,45.5,,,,,,,
Jose Pizano,CFB,cfbo,45.5,,,,,,,
Isaiah Williams,CFB,cfbo,45,,,,,,,
Jacob Zeno,CFB,cfbo,44.9,,,,,,,
Graham Mertz,CFB,cfbo,44.8,,,,,,,
Marquez Cooper,CFB,cfbo,44.5,,,,,,,
CJ Daniels,CFB,cfbo,44.3,,,,,,,
Brayden Schager,CFB,cfbo,44.2,,,,,,,
Reggie Brown,CFB,cfbo,44,,,,,,,
Ja'Mori Maclin,CFB,cfbo,44,,,,,,,
Dean Connors,CFB,cfbo,43.9,,,,,,,
