playerName,sport,position,realrating,,,,,Sport,Position,Symbol
Cam Cook,CFB,cfbo,78.1,,,,,MLB,Batter,batter
Caleb Hawkins,CFB,cfbo,76,,,,,MLB,Starting Pitcher,pitcher
Emmett Johnson,CFB,cfbo,75.8,,,,,MLB,Relief Pitcher,relief
Jeremiyah Love,CFB,cfbo,75.7,,,,,NBA,All,nba
Byrum Brown,CFB,cfbo,70.4,,,,,WNBA,All,wnba
Ahmad Hardy,CFB,cfbo,68.3,,,,,NFL,Offense,nflo
Kewan Lacy,CFB,cfbo,67.7,,,,,NFL,Defense,nfld
Evan Dickens,CFB,cfbo,65.3,,,,,CFB,Offense,cfbo
Antwan Raymond,CFB,cfbo,62.5,,,,,CFB,Defense,cfbd
Sieh Bangura,CFB,cfbo,61.6,,,,,CBB,All,cbb
Cam Edwards,CFB,cfbo,61.4,,,,,NHL,All,nhl
Joe Fagnano,CFB,cfbo,61.3,,,,,Golf,All,golf
Drew Mestemaker,CFB,cfbo,60.7,,,,,,,
Kaytron Allen,CFB,cfbo,60.5,,,,,,,
LJ Martin,CFB,cfbo,59.6,,,,,,,
Wayne Knight,CFB,cfbo,59.4,,,,,,,
Brad Jackson,CFB,cfbo,59.3,,,,,,,
Diego Pavia,CFB,cfbo,59.2,,,,,,,
Colton Joseph,CFB,cfbo,58.6,,,,,,,
J'Mari Taylor,CFB,cfbo,56.6,,,,,,,
Lincoln Pare,CFB,cfbo,56.1,,,,,,,
Skyler Bell,CFB,cfbo,56.1,,,,,,,
Anthony Colandrea,CFB,cfbo,56.1,,,,,,,
Haynes King,CFB,cfbo,55.9,,,,,,,
Fernando Mendoza,CFB,cfbo,55.8,,,,,,,
Brendan Sorsby,CFB,cfbo,55.4,,,,,,,
Kejon Owens,CFB,cfbo,55.3,,,,,,,
Jadan Baugh,CFB,cfbo,55.3,,,,,,,
Cameron Dickey,CFB,cfbo,54.7,,,,,,,
Nick Minicucci,CFB,cfbo,54.7,,,,,,,
Jayden Maiava,CFB,cfbo,54.1,,,,,,,
Dontae McMillan,CFB,cfbo,53.2,,,,,,,
Katin Houser,CFB,cfbo,52.8,,,,,,,
Makai Lemon,CFB,cfbo,52.7,,,,,,,
Raleek Brown,CFB,cfbo,52.7,,,,,,,
Trinidad Chambliss,CFB,cfbo,52.5,,,,,,,
Joey Aguilar,CFB,cfbo,52.4,,,,,,,
Kentrel Bullock,CFB,cfbo,52.4,,,,,,,
Wyatt Young,CFB,cfbo,51.9,,,,,,,
Danny Scudero,CFB,cfbo,51.9,,,,,,,
Darian Mensah,CFB,cfbo,51.9,,,,,,,
Anthony Smith,CFB,cfbo,51.8,,,,,,,
Jake Retzlaff,CFB,cfbo,51.7,,,,,,,
Chip Trayanum,CFB,cfbo,51.5,,,,,,,
Sawyer Robertson,CFB,cfbo,51.4,,,,,,,
