playerName,sport,position,realrating,,,,,Sport,Position,Symbol
Ryan O'Hearn,MLB,Batter,128.8,,,,,,,
Ernie Clement,MLB,Batter,128.5,,,,,,,
Drake Baldwin,MLB,Batter,127.8,,,,,,,
Max Fried,MLB,Pitcher,126.7,,,,,,,
Matt Chapman,MLB,Batter,126.5,,,,,,,
Luis Garcia Jr.,MLB,Batter,126.1,,,,,,,
Kyle Manzardo,MLB,Batter,126.1,,,,,,,
Xavier Edwards,MLB,Batter,125.8,,,,,,,
Jordan Beck,MLB,Batter,125.8,,,,,,,
Anthony Volpe,MLB,Batter,125.7,,,,,,,
Yainer Diaz,MLB,Batter,125.5,,,,,,,
Hunter Brown,MLB,Pitcher,125.3,,,,,,,
Alex Bregman,MLB,Batter,124.9,,,,,,,
Miguel Vargas,MLB,Batter,124.9,,,,,,,
Jackson Holliday,MLB,Batter,124.6,,,,,,,
Mike Trout,MLB,Batter,124.1,,,,,,,
Bryan Woo,MLB,Pitcher,123.5,,,,,,,
Marcell Ozuna,MLB,Batter,123.5,,,,,,,
Harrison Bader,MLB,Batter,123.3,,,,,,,
Kerry Carpenter,MLB,Batter,123.3,,,,,,,
Ivan Herrera,MLB,Batter,123.3,,,,,,,
Logan Webb,MLB,Pitcher,122.8,,,,,,,
Jackson Merrill,MLB,Batter,122.7,,,,,,,
Nolan Schanuel,MLB,Batter,122.3,,,,,,,
Nick Pivetta,MLB,Pitcher,122,,,,,,,
Carlos Rodon,MLB,Pitcher,121.2,,,,,,,
Jesus Luzardo,MLB,Pitcher,121,,,,,,,
Will Smith,MLB,Batter,120.3,,,,,,,
Wilyer Abreu,MLB,Batter,119.6,,,,,,,
Kevin Gausman,MLB,Pitcher,119.5,,,,,,,
Oneil Cruz,MLB,Batter,119,,,,,,,
Xander Bogaerts,MLB,Batter,117.7,,,,,,,
Zach McKinstry,MLB,Batter,117.7,,,,,,,
Brenton Doyle,MLB,Batter,117.2,,,,,,,
Trevor Larnach,MLB,Batter,117.1,,,,,,,
Carlos Correa,MLB,Batter,117,,,,,,,
Jonathan Aranda,MLB,Batter,116.1,,,,,,,
Brendan Donovan,MLB,Batter,115.9,,,,,,,
Framber Valdez,MLB,Pitcher,115.5,,,,,,,
Marcus Semien,MLB,Batter,114.7,,,,,,,
Caleb Durbin,MLB,Batter,114.6,,,,,,,
Cedric Mullins,MLB,Batter,114.3,,,,,,,
Masyn Winn,MLB,Batter,114.1,,,,,,,
Josh Jung,MLB,Batter,113.7,,,,,,,
Ryan McMahon,MLB,Batter,113.5,,,,,,,
Josh Bell,MLB,Batter,112.4,,,,,,,
Austin Hays,MLB,Batter,112.3,,,,,,,
Jesus Sanchez,MLB,Pitcher,112.1,,,,,,,
J.T. Realmuto,MLB,Batter,111.9,,,,,,,
Wilmer Flores,MLB,Batter,111.2,,,,,,,
Mike Yastrzemski,MLB,Batter,110.6,,,,,,,
Jacob deGrom,MLB,Pitcher,110.5,,,,,,,
Max Muncy,MLB,Batter,110.5,,,,,,,
Freddy Peralta,MLB,Pitcher,110.1,,,,,,,
Isaac Collins,MLB,Batter,110.1,,,,,,,
Merrill Kelly,MLB,Batter,109.8,,,,,,,
Andrew Benintendi,MLB,Batter,109.7,,,,,,,
Brooks Lee,MLB,Batter,109.6,,,,,,,
Nathan Lukes,MLB,Batter,109.5,,,,,,,
Paul Goldschmidt,MLB,Batter,108.6,,,,,,,
Alec Bohm,MLB,Batter,108.3,,,,,,,
Luis Robert Jr.,MLB,Batter,108,,,,,,,
Corey Seager,MLB,Batter,108,,,,,,,
Ronald Acuna Jr.,MLB,Batter,107.9,,,,,,,
Dillon Dingler,MLB,Batter,106.6,,,,,,,
Lars Nootbaar,MLB,Batter,106.2,,,,,,,
Matthew Boyd,MLB,Pitcher,106,,,,,,,
Sonny Gray,MLB,Pitcher,105.9,,,,,,,
Jasson Dominguez,MLB,Batter,105.6,,,,,,,
Javier Baez,MLB,Batter,105.6,,,,,,,
Andrew McCutchen,MLB,Batter,105.3,,,,,,,
Eric Wagaman,MLB,Batter,104.9,,,,,,,
Jake Cronenworth,MLB,Batter,104.6,,,,,,,
Gavin Lux,MLB,Batter,104.1,,,,,,,
Austin Wells,MLB,Batter,104.1,,,,,,,
Jonathan India,MLB,Batter,103.4,,,,,,,
Josh Smith,MLB,Batter,103.3,,,,,,,
Brandon Marsh,MLB,Batter,103,,,,,,,
Colt Keith,MLB,Batter,102.6,,,,,,,
Joe Ryan,MLB,Pitcher,101.9,,,,,,,
Cam Smith,MLB,Batter,101.7,,,,,,,
Matt McLain,MLB,Batter,101.3,,,,,,,
Zack Wheeler,MLB,Pitcher,101.1,,,,,,,
Austin Riley,MLB,Batter,101,,,,,,,
Ty France,MLB,Batter,100.7,,,,,,,
Andrew Abbott,MLB,Pitcher,100.2,,,,,,,
Gabriel Arias,MLB,Batter,100.2,,,,,,,
Isaac Paredes,MLB,Batter,100.1,,,,,,,
Romy Gonzalez,MLB,Batter,100,,,,,,,
Luis Castillo,MLB,Pitcher,99.8,,,,,,,
Nikola Jokic,NBA,NBA,421.1,,,,,,,
Shai Gilgeous-Alexander,NBA,NBA,397.8,,,,,,,
Giannis Antetokounmpo,NBA,NBA,360.2,,,,,,,
Anthony Edwards,NBA,NBA,321.8,,,,,,,
Jason Tatum,NBA,NBA,321.1,,,,,,,
James Harden,NBA,NBA,306.9,,,,,,,
Devin Booker,NBA,NBA,306.6,,,,,,,
Trae Young,NBA,NBA,302,,,,,,,
LeBron James,NBA,NBA,301.1,,,,,,,
Tyrese Haliburton,NBA,NBA,297.2,,,,,,,
Cade Cunningham,NBA,NBA,296.2,,,,,,,
Karl-Anthony Towns,NBA,NBA,294.1,,,,,,,
Tyler Herro,NBA,NBA,287.2,,,,,,,
Ivica Zubac,NBA,NBA,279.3,,,,,,,
Domantas Sabonis,NBA,NBA,274.2,,,,,,,
Donovan Mitchell,NBA,NBA,274.1,,,,,,,
Stephen Curry,NBA,NBA,273.7,,,,,,,
Bam Adebayo,NBA,NBA,273.4,,,,,,,
Alperen Sengun,NBA,NBA,272.8,,,,,,,
Pascal Siakam,NBA,NBA,266.1,,,,,,,
Jalen Brunson,NBA,NBA,263.4,,,,,,,
Darius Garland,NBA,NBA,259.6,,,,,,,
DeMar DeRozan,NBA,NBA,258.9,,,,,,,
Nikola Vucevic,NBA,NBA,258.1,,,,,,,
Evan Mobley,NBA,NBA,251.6,,,,,,,
Jalen Williams,NBA,NBA,250.6,,,,,,,
Zach LaVine,NBA,NBA,248.8,,,,,,,
Josh Hart,NBA,NBA,247,,,,,,,
Jaren Jackson Jr.,NBA,NBA,245.6,,,,,,,
Austin Reaves,NBA,NBA,244.8,,,,,,,
Luka Doncic,NBA,NBA,244.6,,,,,,,
Jamal Murray,NBA,NBA,241.6,,,,,,,
Jalen Green,NBA,NBA,240.4,,,,,,,
Kevin Durant,NBA,NBA,239.1,,,,,,,
Damian Lillard,NBA,NBA,238.2,,,,,,,
Mikal Bridges,NBA,NBA,237.9,,,,,,,
